,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
5465,386.0,0.0,7839.0,3690.0,323.0,904.0,1436.0,6953.0,56.0,95.0,2817.0,309.0,5335.0
5466,388.0,0.0,8011.0,3717.0,338.0,915.0,1610.0,6956.0,56.0,97.0,2126.0,308.0,5947.0
5467,387.0,0.0,7923.0,3684.0,343.0,907.0,1631.0,6957.0,58.0,97.0,1163.0,309.0,6706.0
5468,396.0,0.0,7949.0,3709.0,343.0,921.0,1487.0,6959.0,58.0,97.0,652.0,309.0,7345.0
5469,394.0,0.0,7150.0,3458.0,339.0,898.0,1206.0,6963.0,58.0,98.0,561.0,311.0,7264.0
5470,391.0,0.0,5197.0,3235.0,333.0,893.0,1394.0,6962.0,58.0,95.0,483.0,310.0,6837.0
5471,393.0,0.0,4367.0,3035.0,309.0,846.0,1137.0,6967.0,58.0,94.0,388.0,311.0,6156.0
5472,394.0,0.0,4251.0,2644.0,313.0,815.0,838.0,6973.0,58.0,97.0,382.0,309.0,5672.0
5473,392.0,0.0,3869.0,2238.0,300.0,782.0,599.0,6978.0,57.0,96.0,330.0,307.0,5351.0
5474,393.0,0.0,4166.0,1969.0,300.0,762.0,617.0,6977.0,58.0,95.0,285.0,311.0,5385.0
5475,393.0,0.0,4144.0,1976.0,311.0,742.0,728.0,6976.0,58.0,96.0,198.0,314.0,5299.0
5476,391.0,0.0,4211.0,1995.0,313.0,741.0,679.0,6976.0,58.0,96.0,58.0,315.0,5166.0
5477,391.0,0.0,4726.0,2558.0,315.0,754.0,959.0,6978.0,58.0,94.0,45.0,317.0,4986.0
5478,396.0,0.0,4843.0,3115.0,335.0,787.0,1701.0,6978.0,58.0,92.0,65.0,317.0,4946.0
5479,401.0,0.0,5255.0,3214.0,337.0,854.0,2241.0,6981.0,62.0,95.0,445.0,319.0,4748.0
5480,395.0,0.0,5236.0,3250.0,332.0,882.0,2808.0,6985.0,67.0,94.0,1480.0,318.0,4943.0
5481,398.0,0.0,4992.0,3183.0,315.0,903.0,1541.0,6985.0,68.0,96.0,3301.0,315.0,5401.0
5482,398.0,0.0,5087.0,3205.0,332.0,944.0,1332.0,6982.0,70.0,98.0,4271.0,314.0,5502.0
5483,389.0,0.0,5140.0,3258.0,333.0,943.0,1502.0,6978.0,69.0,96.0,4719.0,311.0,5457.0
5484,393.0,0.0,5054.0,3234.0,333.0,951.0,1426.0,6974.0,70.0,95.0,4888.0,310.0,5585.0
5485,397.0,0.0,4616.0,3001.0,336.0,954.0,1090.0,6969.0,69.0,97.0,4931.0,308.0,6130.0
5486,400.0,0.0,4593.0,2870.0,314.0,921.0,966.0,6962.0,68.0,97.0,4617.0,309.0,6923.0
5487,393.0,0.0,4549.0,2803.0,309.0,911.0,1104.0,6957.0,68.0,99.0,4106.0,310.0,7525.0
5488,395.0,0.0,4740.0,2714.0,296.0,898.0,1155.0,6955.0,69.0,100.0,3528.0,306.0,8363.0
5489,399.0,0.0,4924.0,2697.0,295.0,932.0,1508.0,6957.0,68.0,99.0,2716.0,303.0,9224.0
5490,402.0,0.0,5134.0,2971.0,302.0,942.0,2137.0,6959.0,62.0,102.0,1712.0,305.0,9383.0
5491,403.0,0.0,4966.0,2961.0,319.0,934.0,1979.0,6963.0,69.0,104.0,887.0,307.0,9648.0
5492,403.0,0.0,5234.0,2968.0,319.0,956.0,2659.0,6967.0,69.0,104.0,585.0,310.0,8919.0
5493,396.0,0.0,4783.0,2886.0,321.0,891.0,1936.0,6970.0,58.0,103.0,486.0,311.0,8934.0
5494,396.0,0.0,4167.0,2358.0,315.0,847.0,1106.0,6972.0,57.0,101.0,421.0,314.0,9281.0
5495,400.0,0.0,4299.0,1816.0,286.0,826.0,1116.0,6974.0,58.0,98.0,382.0,307.0,9053.0
5496,396.0,0.0,4057.0,1654.0,285.0,793.0,1057.0,6977.0,58.0,99.0,310.0,304.0,8852.0
5497,399.0,0.0,3790.0,1640.0,285.0,763.0,900.0,6979.0,57.0,98.0,202.0,307.0,8525.0
5498,398.0,0.0,3524.0,1467.0,280.0,736.0,758.0,6978.0,57.0,97.0,89.0,312.0,8319.0
5499,399.0,0.0,3580.0,1388.0,283.0,737.0,660.0,6982.0,57.0,96.0,84.0,311.0,8215.0
5500,399.0,0.0,3621.0,1427.0,262.0,740.0,667.0,6984.0,58.0,94.0,83.0,310.0,8004.0
5501,400.0,0.0,3770.0,1512.0,266.0,745.0,850.0,6984.0,58.0,92.0,75.0,308.0,7990.0
5502,402.0,0.0,3784.0,1534.0,268.0,747.0,761.0,6987.0,58.0,92.0,67.0,308.0,7987.0
5503,402.0,0.0,3808.0,1632.0,270.0,787.0,1144.0,6989.0,58.0,93.0,424.0,310.0,7697.0
5504,403.0,0.0,3879.0,1540.0,263.0,821.0,1115.0,6990.0,58.0,95.0,1415.0,317.0,7630.0
5505,396.0,0.0,3498.0,1471.0,260.0,830.0,1037.0,6988.0,58.0,101.0,3333.0,317.0,7113.0
5506,393.0,0.0,3754.0,1832.0,262.0,843.0,1080.0,6980.0,58.0,100.0,4318.0,318.0,6239.0
5507,392.0,0.0,3761.0,2195.0,262.0,847.0,1095.0,6979.0,57.0,97.0,4642.0,317.0,5733.0
5508,398.0,0.0,3866.0,2226.0,262.0,872.0,1422.0,6976.0,57.0,100.0,4860.0,313.0,5298.0
